slot,slot_file,source_file,expected_source_sha256,work,layer_status
1,01_VINAYA_MULA_CST.txt,romn/vin01m.mul.xml,4998460f1bb0e76a5e88bcfd89a3de11951d8ed461b09a3b8912e281604a670e,Pārājikapāḷi,MŪLA
1,01_VINAYA_MULA_CST.txt,romn/vin02m1.mul.xml,2cbb3463fcefc0165103790a07fec20020b4420a30df624ef92c9141841ccd20,Pācittiyapāḷi,MŪLA
1,01_VINAYA_MULA_CST.txt,romn/vin02m2.mul.xml,807ff2a2f726d8c7925d2ea93cea21eae9932c8581e96c4bec51b4c117d42587,Mahāvaggapāḷi,MŪLA
1,01_VINAYA_MULA_CST.txt,romn/vin02m3.mul.xml,f2fb76625c37a5924903ada1e94741af66f55fc3ca9ada734f1a2b137e021a84,Cūḷavaggapāḷi,MŪLA
1,01_VINAYA_MULA_CST.txt,romn/vin02m4.mul.xml,66bea7d6ad3fbc5917045bf214733371639a7bba525833f467f6fdd8c198b6c8,Parivārapāḷi,MŪLA
2,02_DN_MULA_CST.txt,romn/s0101m.mul.xml,f7c1cd5898954fb7f67781a55ebe9333750f7bdc162b108b26c1a5cd2cebd944,Dīgha Nikāya — Sīlakkhandhavaggapāḷi,MŪLA
2,02_DN_MULA_CST.txt,romn/s0102m.mul.xml,1e0001399f3270868cfacf7247d29a4bf05dde6ba63ef722d9b41dc87421895f,Dīgha Nikāya — Mahāvaggapāḷi,MŪLA
2,02_DN_MULA_CST.txt,romn/s0103m.mul.xml,dc25cefc0ba6575417997d7fe7599ff28a421cf1a0fc7f2e015d19c28f7f2d3c,Dīgha Nikāya — Pāthikavaggapāḷi,MŪLA
3,03_MN_MULA_CST.txt,romn/s0201m.mul.xml,92246ecbf18e1625ca43835eab2e62064dfd50d7fc20c5238b8d91779e633144,Majjhima Nikāya — Mūlapaṇṇāsapāḷi,MŪLA
3,03_MN_MULA_CST.txt,romn/s0202m.mul.xml,8fc70e9b55b2f283c15bbddedf69f79d18cbaf64379004525934a5a2a4bdc166,Majjhima Nikāya — Majjhimapaṇṇāsapāḷi,MŪLA
3,03_MN_MULA_CST.txt,romn/s0203m.mul.xml,5e2448c1591299c58e7d0af07ce6fb52676306e8cad7dd2fa154f8c980aa4844,Majjhima Nikāya — Uparipaṇṇāsapāḷi,MŪLA
4,04_SN_MULA_CST.txt,romn/s0301m.mul.xml,2a4a21596a0eda19c74fc2dedaaaccf262bf1776c09b3043d654a9f1c676411b,Saṃyutta Nikāya — Sagāthāvaggapāḷi,MŪLA
4,04_SN_MULA_CST.txt,romn/s0302m.mul.xml,61bc83404230b7cf06142f642834c8ea69aa0f4f2cc45d201716cd1ac9a0b40a,Saṃyutta Nikāya — Nidānavaggapāḷi,MŪLA
4,04_SN_MULA_CST.txt,romn/s0303m.mul.xml,ab96b1c89578c607a73f3bc931dff1315b1427815ce94b2ea1929583152f5a2a,Saṃyutta Nikāya — Khandhavaggapāḷi,MŪLA
4,04_SN_MULA_CST.txt,romn/s0304m.mul.xml,82cb012c7f462a46f1d159577d13a5cabf3a8259c7886660d4fd83beee4f4dbb,Saṃyutta Nikāya — Saḷāyatanavaggapāḷi,MŪLA
4,04_SN_MULA_CST.txt,romn/s0305m.mul.xml,95300f79a48558b66d54e5e0913b526aeda2be88cc3f3f3fd44542419fbebb78,Saṃyutta Nikāya — Mahāvaggapāḷi,MŪLA
5,05_AN_MULA_CST.txt,romn/s0401m.mul.xml,2938300630a21715daf6b461139d636684b2643f3978257caaf211c842a805cb,Aṅguttara Nikāya — Ekakanipātapāḷi,MŪLA
5,05_AN_MULA_CST.txt,romn/s0402m1.mul.xml,a41908917b1c0bf1e17c740845612d7a83489073a8bdfde3425f442cd73252a5,Aṅguttara Nikāya — Dukanipātapāḷi,MŪLA
