slot,canonical_filename,local_uploaded_filename,bytes,sha256,source_blocks
1,01_VINAYA_MULA_CST.txt,01_VINAYA_MULA_CST.txt,4785910,91c0d065ab692fa493474a9e96389a3e31f5e60c8b91ac665e53f1f7f0f22cc1,5
2,02_DN_MULA_CST.txt,02_DN_MULA_CST.txt,1645742,186ba65a1a3df5c1abdb34af1fbc9628fe26dc77eb8440e9ad0f4852a96103b6,3
3,03_MN_MULA_CST.txt,03_MN_MULA_CST.txt,2796880,14ae0d993d17426676fa981ec260c64ad8eb90da5867b2c6e1894541beb20722,3
4,04_SN_MULA_CST.txt,04_SN_MULA_CST.txt,3070842,637ad9002ab7be3ad4f885483b1db7b017670cda03ddef3dd7e0eb75ec1f47aa,5
5,05_AN_MULA_CST.txt,05_AN_MULA_CST.txt,3491723,6d097a6a8f6c564f2ce9c50751a3756376e48255af561d8d7b7f9dffb6732d4d,11
6,06_KN_EARLY_MULA.txt,06_KN_EARLY_MULA.txt,710105,f2ceb5b7c3593d9f0b7b6d2780a2629cafbfaf0ee75f97c7569aa035da2544b4,5
7,07_KN_POETRY_MULA.txt,07_KN_POETRY_MULA.txt,591873,a77812c7b826ad632b2962d6ae8d3f134e01ca5193a0e2e3fa66ff399f9906f5,4
8,08_KN_LATER_MULA.txt,08_KN_LATER_MULA.txt,2438393,77e61cc54b7b3bd6925c622ac6c43c1648c7e4035fd428feba6f4c17cf1bd8ec,6
9,09_KN_EXEGETICAL_MULA.txt,09_KN_EXEGETICAL_MULA.txt,2468466,8603f247a42fb469b993d858209060c22086e07aafde8f87e1f4d4af08be5262,3
10,10_KN_NETTI_MILINDA_PETAKA.txt,10_KN_NETTI_MILINDA_PETAKA.txt,1526359,39e54bf9cb83a29c7b9ab2c4eeca5076bd3dee27bce793d12704260f92871b00,3
11,11_ABHIDHAMMA_CORE_MULA.txt,11_ABHIDHAMMA_CORE_MULA.txt,2818457,977d32fa8c35b3a3d8b3ac7f0c13c23a6d0312dea5a5f7ae0b6efbe571b8a4be,5
12,12_YAMAKA_MULA.txt,12_YAMAKA_MULA.txt,1988307,29c4617ee8f9617107fada49d9cd6dbd0208fef3fa45e119d25c2ee437c08111,3
13,13_PATTHANA_MULA.txt,13_PATTHANA_MULA.txt,4808174,8478294aee2894962755d8a3c1489b2fc05e6fd9531158df5771f8208b55c1ac,5
14,14_VISUDDHIMAGGA_CLASSICAL.txt,14_VISUDDHIMAGGA_CLASSICAL.txt,3654210,9affbc6753625bd42a04f4cb1620f9de6b3f5f723e72750192a030e8f316fa7b,4
15,15_VINAYA_ATTHAKATHA.txt,15_VINAYA_ATTHAKATHA(1).txt,3463022,f9a3307a9d2e566c6681244159d827507455f7c45cb8b4c4249f5558609d3f04,7
16,16_DN_ATTHAKATHA.txt,16_DN_ATTHAKATHA.txt,2098576,1ea3280152496a4db470d631f03621728f3a6ff5e52f7fa4fcc3f07b87b0426f,3
17,17_MN_ATTHAKATHA.txt,17_MN_ATTHAKATHA.txt,2751852,a27e314a95444f8fa6cb81529c37c0c400d98c0fca1ffe76f48f80adc58f8d75,3
18,18_SN_ATTHAKATHA.txt,18_SN_ATTHAKATHA.txt,2017923,6667a37a7fbf10729019b2cf9057ccf444873c38204ab94a9cdda64f50d7b7a9,5
19,19_AN_ATTHAKATHA.txt,19_AN_ATTHAKATHA.txt,2432205,c791db3a761c0b833204662231a10d4744ef80097f402d00972f9144ec72eceb,4
20,20_KN_ATTHAKATHA_I.txt,20_KN_ATTHAKATHA_I.txt,8894024,7c5c365a61660421c4a9db63737fdcd61511b21eb0ef30d948cab3837aaa0ab7,10
21,21_KN_ATTHAKATHA_II.txt,21_KN_ATTHAKATHA_II.txt,12369847,0ef5b12584e5cb581967ed70243720c35d24123d44fbf359bd5999f10e81507d,14
22,22_ABHIDHAMMA_ATTHAKATHA.txt,22_ABHIDHAMMA_ATTHAKATHA.txt,3027916,1f06ef92c2f9229d27bdb69194a209b4956c756895e30b52cff7579efc7adca8,3
23,23_SUTTA_NETTI_TIKA.txt,23_SUTTA_NETTI_TIKA.txt,12244195,396c32d673c2c5a055b3dde65abb4736a7e5c0617e35511b1054b5f1593c567a,20
24,24_VINAYA_TIKA_MANUALS.txt,24_VINAYA_TIKA_MANUALS.txt,13804560,bf6885bbdb2fea57910becb8c393dbd2a66e919b23c1e9d385b30d50ce8b1d32,13
25,25_ABHIDHAMMA_TIKA_MANUALS.txt,25_ABHIDHAMMA_TIKA_MANUALS(1).txt,5397452,b901d644e9bef996b59efc24d6bd0822aea793f638ad01e20242185bf8cbdb1f,9
