slot,slot_file,source_file,work,layer_status,provider,script,source_sha256,upstream,upstream_commit,provenance_status
1,01_VINAYA_MULA_CST.txt,romn/vin01m.mul.xml,Pārājikapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,4998460f1bb0e76a5e88bcfd89a3de11951d8ed461b09a3b8912e281604a670e,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
1,01_VINAYA_MULA_CST.txt,romn/vin02m1.mul.xml,Pācittiyapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,2cbb3463fcefc0165103790a07fec20020b4420a30df624ef92c9141841ccd20,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
1,01_VINAYA_MULA_CST.txt,romn/vin02m2.mul.xml,Mahāvaggapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,807ff2a2f726d8c7925d2ea93cea21eae9932c8581e96c4bec51b4c117d42587,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
1,01_VINAYA_MULA_CST.txt,romn/vin02m3.mul.xml,Cūḷavaggapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,f2fb76625c37a5924903ada1e94741af66f55fc3ca9ada734f1a2b137e021a84,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
1,01_VINAYA_MULA_CST.txt,romn/vin02m4.mul.xml,Parivārapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,66bea7d6ad3fbc5917045bf214733371639a7bba525833f467f6fdd8c198b6c8,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
2,02_DN_MULA_CST.txt,romn/s0101m.mul.xml,Dīgha Nikāya — Sīlakkhandhavaggapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,f7c1cd5898954fb7f67781a55ebe9333750f7bdc162b108b26c1a5cd2cebd944,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
2,02_DN_MULA_CST.txt,romn/s0102m.mul.xml,Dīgha Nikāya — Mahāvaggapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,1e0001399f3270868cfacf7247d29a4bf05dde6ba63ef722d9b41dc87421895f,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
2,02_DN_MULA_CST.txt,romn/s0103m.mul.xml,Dīgha Nikāya — Pāthikavaggapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,dc25cefc0ba6575417997d7fe7599ff28a421cf1a0fc7f2e015d19c28f7f2d3c,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
3,03_MN_MULA_CST.txt,romn/s0201m.mul.xml,Majjhima Nikāya — Mūlapaṇṇāsapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,92246ecbf18e1625ca43835eab2e62064dfd50d7fc20c5238b8d91779e633144,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
3,03_MN_MULA_CST.txt,romn/s0202m.mul.xml,Majjhima Nikāya — Majjhimapaṇṇāsapāḷi,MŪLA,Vipassana Research Institute / Tipitaka.org,Roman Pāli,8fc70e9b55b2f283c15bbddedf69f79d18cbaf64379004525934a5a2a4bdc166,https://github.com/VipassanaTech/tipitaka-xml,e064d02da2db3df9a7d116a9191092b12e6dfe01,PENDING_PIN_VERIFY
